trade_direction,nl_company,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Export (NL seller),4 Pets V.O.F.,90318020,903180,9,"Instruments, appliances and machines; for measuring or checking n.e.c. in chapter 90",MARKS2383,Netherlands,Hong Kong,Hong Kong,5,2020,2,2020-02,2020-02-04,20200204,20200204,import,1,20814831.27,228.14,kg,KG,4 Pets V.O.F.,[in full dataset],Amsterdam,,,,Y,"Hisense Home Appliances Group Co., Ltd.",[in full dataset],Sai Ying Pun,,hxjd.hisense.cn,[in full dataset],Y,4 Pets V.O.F.,[in full dataset],,17688.9,17688.9,Amsterdam,Hong Kong (Kwai Tsing),Sai Ying Pun,1,1,22.11,EVER ACME,IMO9079899,LR,V414,538,HLCU,MBL,MSCU118340524,YMLU438111556,TCLU5055090,40GP,OPEN TOP,HC,LCL,CFS/CFS,DHL Global Forwarding,200
Import (NL buyer),Chez Ma-Ma,90131010,901310,8,"Optical appliances and instruments; telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, appliances, instruments or apparatus of this chapter",MARKS6496,Denmark,Netherlands,Netherlands,5,2020,2,2020-02,2020-02-10,20200227,20200227,import,1,15878367.02,136857.05,kg,KG,Radiometer Medical ApS,[in full dataset],Brønshøj,,www.radiometer.com,[in full dataset],Y,Chez Ma-Ma,[in full dataset],Ede GLD,,,,Y,Radiometer Medical ApS,[in full dataset],,15307,15307,Main Container Port,Rotterdam,Ede GLD,1,1,19.13,MADRID MAERSK,IMO5525933,SG,V179,358,YMLU,MBL,CMDU641570721,ONEY232377797,CAIU8525354,40HC,OPEN TOP,GP,FCL,CY/CY,CEVA Logistics,124006.09
Import (NL buyer),Ellis Enterprises B.V.,27011100,270111,6,"Coal; anthracite, whether or not pulverised, but not agglomerated",MARKS7074,Serbia,Netherlands,Netherlands,6,2025,10,2025-10,2025-10-22,20251014,20251014,import,1,747607.84,58018.93,kg,KG,ORBICO DOO BEOGRAD,[in full dataset],Beograd (Novi Beograd),,www.orbico.rs,[in full dataset],Y,Ellis Enterprises B.V.,[in full dataset],Dordrecht,,www.valvoline.com,[in full dataset],Y,ORBICO DOO BEOGRAD,[in full dataset],,4182.1,4182.1,Main Container Port,Amsterdam,Dordrecht,1,1,5.23,MSC GULSUN,IMO3569262,LR,V745,431,MSCU,HBL,EGLV564618317,COSU965430275,TGHU4274887,45HC,TANK,HC,FCL,CY/CY,DSV,53702.73
Import (NL buyer),Mobile Concrete Group B.V.,73152000,731520,8,"Chain; skid, articulated link chain and parts thereof, of iron or steel",MARKS3579,Argentina,Netherlands,Netherlands,6,2021,3,2021-03,2021-03-26,20210311,20210311,import,1,153406.6,127229.81,kg,KG,MINERA ANDINA DEL SOL S.R.L.,[in full dataset],Trinidad,,www.veladero.com,[in full dataset],Y,Mobile Concrete Group B.V.,[in full dataset],Hattemerbroek,,,,Y,MINERA ANDINA DEL SOL S.R.L.,[in full dataset],,23720.7,23720.7,Rosario,Rotterdam,Hattemerbroek,1,1,29.65,EVER GIVEN,IMO9186236,LR,V174,182,COSU,HBL,YMLU580711940,EGLV743810303,FCIU8439613,45HC,TANK,GP,FCL,CY/CY,DSV,110645.79
Import (NL buyer),Adri en Zoon Schaal- en Schelpdierenhandel B.V.,03061210,030612,7,"Crustaceans; frozen, lobsters (Homarus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",MARKS6341,Slovakia,Netherlands,Netherlands,5,2017,3,2017-03,2017-03-15,20170316,20170316,import,1,12468.33,13193.31,kg,KG,"VSV GROUP, s.r.o.",[in full dataset],Považská Bystrica,,www.bpstvrdosin.eu,[in full dataset],Y,Adri en Zoon Schaal- en Schelpdierenhandel B.V.,[in full dataset],Yerseke,,www.adrienzoon.com,[in full dataset],N,"VSV GROUP, s.r.o.",[in full dataset],,24146.5,24146.5,Main Container Port,Amsterdam,Yerseke,1,1,30.18,HMM ALGECIRAS,IMO7901032,LR,V778,119,MSCU,MBL,HLCU947331541,MAEU807151698,CAIU1891375,45HC,OPEN TOP,HC,FCL,CFS/CFS,Nippon Express,12468.33
Export (NL seller),HS Produkties,90172010,901720,7,"Drawing, marking-out or mathematical calculating instruments",MARKS5704,Netherlands,Luxembourg,Luxembourg,7,2019,12,2019-12,2019-12-02,20191213,20191213,export,1,4725733.45,224.36,kg,KG,HS Produkties,[in full dataset],Hoogeveen,,,,Y,Amazon Business EU SARL,[in full dataset],Luxembourg,,www.amazon.com,[in full dataset],Y,HS Produkties,[in full dataset],,3019.6,3019.6,Amsterdam,Main Container Port,Luxembourg,1,1,3.77,MOL TRIUMPH,IMO5938510,MH,V160,26,MSCU,HBL,MSCU774319229,MSCU503756683,TGHU1616271,40HC,OPEN TOP,HC,FCL,CY/CFS,Expeditors,200
Export (NL seller),Qleans II B.V.,38101000,381010,7,"Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials",MARKS5585,Netherlands,Paraguay,Paraguay,5,2023,7,2023-07,2023-07-02,20230711,20230711,export,1,38842.83,3332.19,kg,KG,Qleans II B.V.,[in full dataset],Zwolle,,,,Y,NATIVE WOOD SOCIEDAD ANONIMA,[in full dataset],SANTA ROSA DEL MBUTUY,,,,Y,Qleans II B.V.,[in full dataset],,15661.5,15661.5,Amsterdam,Main Container Port,SANTA ROSA DEL MBUTUY,1,1,19.58,MAERSK MOLLER,IMO8142951,PA,V132,897,OOLU,HBL,ONEY229945476,MSCU452484242,TCLU7680957,20GP,DRY,RF,LCL,CY/CY,DB Schenker,2908.52
Export (NL seller),Amega Automotive B.V.,87049000,870490,9,"Vehicles; for transport of goods, n.e.c. in heading no. 8704",MARKS7730,Netherlands,Georgia,Georgia,9,2024,1,2024-01,2024-01-11,20240108,20240108,export,1,1703608.03,340.25,kg,KG,Amega Automotive B.V.,[in full dataset],Dordrecht,,,,Y,"AUTO-BANI 2000, LLC",[in full dataset],Tbilisi,,autobani2000.ge,[in full dataset],Y,Amega Automotive B.V.,[in full dataset],,4754.8,4754.8,Rotterdam,Main Container Port,Tbilisi,1,1,5.94,COSCO UNIVERSE,IMO5034581,SG,V496,711,YMLU,MBL,EGLV725708312,HLCU315120893,FCIU4232001,45HC,DRY,GP,FCL,CFS/CFS,Yusen Logistics,299.51
Export (NL seller),Vishandel van As Zeeland B.V.,03047300,030473,9,"Fish fillets; frozen, coalfish (Pollachius virens)",MARKS6266,Netherlands,Equatorial Guinea,Equatorial Guinea,8,2017,9,2017-09,2017-09-02,20170913,20170913,export,1,58325,222.72,kg,KG,Vishandel van As Zeeland B.V.,[in full dataset],Yerseke,,www.vanaszeeland.nl,[in full dataset],Y,Sociedad Forestal De Guinea Ecuatorial,[in full dataset],Bata,,,,N,Vishandel van As Zeeland B.V.,[in full dataset],,5764.4,5764.4,Rotterdam,Main Container Port,Bata,1,1,7.21,HYUNDAI LOYALTY,IMO7737361,SG,V959,11,APLU,SWB,MSCU778133468,MAEU232070794,GESU7163136,40HC,FLAT RACK,HC,FCL,CY/CFS,DHL Global Forwarding,208.05
Export (NL seller),Oriflame Holdings B.V.,30025100,300251,9,"Cell cultures, whether or not modified; cell therapy products",MARKS4102,Netherlands,Philippines,Philippines,7,2015,6,2015-06,2015-06-25,20150608,20150608,export,1,1771369.19,10100.21,kg,KG,Oriflame Holdings B.V.,[in full dataset],Veghel,,www.oriflame.com,[in full dataset],Y,THE RAP RITEAID PHARMACEUTICAL CORP.,[in full dataset],Taytay,,,,Y,Oriflame Holdings B.V.,[in full dataset],,24784.7,24784.7,Rotterdam,Manila North/South Harbor,Taytay,1,1,30.98,BARZAN,IMO4520335,LR,V281,707,OOLU,MBL,MAEU920827204,YMLU677015678,MSCU3792582,40HC,REEFER,GP,FCL,CY/CFS,Sinotrans,9592.65
Export (NL seller),Th. Hoogerheide Beheer B.V.,03034310,030343,9,"Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",MARKS9241,Netherlands,Seychelles,Seychelles,8,2017,2,2017-02,2017-02-19,20170228,20170228,export,1,16658.42,18102.53,kg,KG,Th. Hoogerheide Beheer B.V.,[in full dataset],Bruinisse,,,,Y,OCEAN PRODUCTS SEYCHELLES LIMITED,[in full dataset],Victoria,,,,Y,Th. Hoogerheide Beheer B.V.,[in full dataset],,8803.2,8803.2,Amsterdam,Main Container Port,Victoria,1,1,11,HYUNDAI LOYALTY,IMO7664939,LR,V952,985,EGLV,MBL,MAEU574443581,YMLU385561610,MSCU8021908,20GP,FLAT RACK,HC,FCL,CFS/CFS,Nippon Express,16658.42
Import (NL buyer),Shell Trading Rotterdam B.V.,27111100,271111,9,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",MARKS8172,Indonesia,Netherlands,Netherlands,5,2016,10,2016-10,2016-10-12,20161003,20161003,export,1,47009.05,1780.54,kg,KG,PT BUKIT MAKMUR MANDIRI UTAMA,[in full dataset],Kota Administrasi Jakarta Selatan,,www.deltadunia.com,[in full dataset],Y,Shell Trading Rotterdam B.V.,[in full dataset],Rotterdam,,www.shell.com,[in full dataset],Y,PT BUKIT MAKMUR MANDIRI UTAMA,[in full dataset],,15329.7,15329.7,Belawan,Amsterdam,Rotterdam,1,1,19.16,MOL TRIUMPH,IMO4212859,MH,V328,549,CMDU,MBL,MAEU811819462,MAEU421451559,TCLU5519086,40GP,TANK,HC,FCL,CFS/CFS,Bollore Logistics,1550.07
Import (NL buyer),Van Kessel Olie B.V.,38248300,382483,7,"Chemical products, mixtures and preparations; containing goods specified in Subheading Note 3 to this Chapter; containing tris(2,3-dibromopropyl) phosphate",MARKS5528,Panama,Netherlands,Netherlands,7,2023,7,2023-07,2023-07-06,20230725,20230725,import,1,231937.91,11953.66,kg,KG,Gulf Oil Panama S.A.,[in full dataset],Panama,,www.gulfoilpanama.com,[in full dataset],N,Van Kessel Olie B.V.,[in full dataset],Milheeze,,www.vankesselolie.nl,[in full dataset],Y,Gulf Oil Panama S.A.,[in full dataset],,10124.8,10124.8,Main Container Port,Amsterdam,Milheeze,1,1,12.66,HMM ALGECIRAS,IMO4256528,MH,V914,311,COSU,MBL,HLCU760829545,COSU528010540,FCIU4500193,40HC,FLAT RACK,RF,FCL,CY/CY,CEVA Logistics,11259.61
Export (NL seller),Metaalindustrie Tj. Spinder B.V.,73239200,732392,9,"Cast iron; table, kitchen and other household articles and parts thereof, of cast iron, enamelled",MARKS9609,Netherlands,Tunisia,Tunisia,5,2021,3,2021-03,2021-03-22,20210307,20210307,export,1,339670.15,345.42,kg,KG,Metaalindustrie Tj. Spinder B.V.,[in full dataset],Drachten,,www.spinder.nl,[in full dataset],N,SOCIETE DU TERRE BLEU,[in full dataset],Ouerdanine,,,,Y,Metaalindustrie Tj. Spinder B.V.,[in full dataset],,6253,6253,Amsterdam,Main Container Port,Ouerdanine,1,1,7.82,YM WARRANTY,IMO6605149,SG,V198,474,HMMU,MBL,MAEU570353970,CMDU532025241,GESU4146174,20GP,DRY,HC,FCL,CFS/CFS,CEVA Logistics,317.37
Export (NL seller),Svenscar B.V.,87042391,870423,8,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 20 tonnes), n.e.c. in item no 8704.1",MARKS3016,Netherlands,Russia,Russia,8,2024,1,2024-01,2024-01-18,20240102,20240102,export,1,100726.38,107892.43,kg,KG,Svenscar B.V.,[in full dataset],Dordrecht,,www.svenscar.nl,[in full dataset],Y,"AMKAPITAL, OOO",[in full dataset],Moscow,,avtomir.ru,[in full dataset],Y,Svenscar B.V.,[in full dataset],,15281.1,15281.1,Amsterdam,Vladivostok,Moscow,1,1,19.1,BARZAN,IMO1573044,PA,V797,75,HMMU,SWB,EGLV666665324,YMLU978203643,TGHU2731277,20GP,TANK,RF,LCL,CFS/CFS,DB Schenker,98575.47
Import (NL buyer),M.P.M. International Oil Company B.V.,38249993,382499,7,"Chemical products, mixtures and preparations; n.e.c. heading 3824",MARKS8014,United Arab Emirates,Netherlands,Netherlands,5,2023,7,2023-07,2023-07-12,20230723,20230723,import,1,76417.3,13474.05,kg,KG,AIR LIQUIDE GLOBAL HELIUM FZE,[in full dataset],Dubai,,uae.sal,[in full dataset],Y,M.P.M. International Oil Company B.V.,[in full dataset],Delft,,www.mpmoil.nl,[in full dataset],Y,AIR LIQUIDE GLOBAL HELIUM FZE,[in full dataset],,14465,14465,"Khalifa, Abu Dhabi",Rotterdam,Delft,1,1,18.08,HYUNDAI LOYALTY,IMO7926310,PA,V332,628,ONEY,HBL,ONEY129548775,HLCU916554019,FCIU5186662,40HC,REEFER,GP,FCL,CY/CFS,Expeditors,12445.12
Export (NL seller),Varuvo B.V.,30036000,300360,9,"Medicaments; containing antimalarial active principles described in subheading note 2 to this chapter, for therapeutic or prophylactic uses, (not packaged for retail sale)",MARKS2707,Netherlands,Ivory Coast,Ivory Coast,7,2015,6,2015-06,2015-06-10,20150626,20150626,export,1,72277.88,79400.3,kg,KG,Varuvo B.V.,[in full dataset],Borculo,,www.varuvo.nl,[in full dataset],Y,GLOBAL ELAL,[in full dataset],Abidjan,,,,Y,Varuvo B.V.,[in full dataset],,19754.9,19754.9,Amsterdam,Main Container Port,Abidjan,1,1,24.69,EVER ACME,IMO3137722,PA,V420,945,APLU,MBL,CMDU909230962,COSU892870767,MSCU8967121,45HC,REEFER,GP,FCL,CY/CFS,Yusen Logistics,72277.88
Import (NL buyer),De Maassche Echt B.V.,87161092,871610,9,"Trailers and semi-trailers; of the caravan type, for housing or camping",MARKS3640,Philippines,Netherlands,Netherlands,6,2024,1,2024-01,2024-01-16,20240128,20240128,import,1,1056119.92,53393.47,kg,KG,16TH AVENUE AUTOSHOP INC.,[in full dataset],Quezon City,,,,Y,De Maassche Echt B.V.,[in full dataset],Echt,,www.demaasschebmw.nl,[in full dataset],N,16TH AVENUE AUTOSHOP INC.,[in full dataset],,3229.2,3229.2,Subic Bay,Rotterdam,Echt,1,1,4.04,HMM ALGECIRAS,IMO2163510,MH,V559,731,COSU,MBL,MSCU827557781,COSU311821262,FCIU7953227,40HC,DRY,RF,FCL,CFS/CFS,Kuehne + Nagel,50438.29
Export (NL seller),Wittenberg - de Bois Holding B.V.,87012310,870123,9,"Tractors; road tractors for semi-trailers, with both spark-ignition internal combustion piston engine and electric motors for propulsion",MARKS1201,Netherlands,Congo,Congo,8,2024,1,2024-01,2024-01-12,20240126,20240126,export,1,88020.81,47577.66,kg,KG,Wittenberg - de Bois Holding B.V.,[in full dataset],Veenendaal,,,,N,SUNU ASSURANCES IARD CONGO SA,[in full dataset],Pointe- Noire,,www.sunu-group.com,[in full dataset],N,Wittenberg - de Bois Holding B.V.,[in full dataset],,21694.2,21694.2,Amsterdam,Main Container Port,Pointe- Noire,1,1,27.12,BARZAN,IMO8610755,MH,V481,711,ONEY,MBL,ONEY537308903,COSU293754769,BMOU7577305,45HC,TANK,HC,FCL,CFS/CFS,Nippon Express,44324.39
Export (NL seller),Kerckhaert Hoefijzerfabriek B.V.,73241000,732410,9,"Steel; sinks and wash basins, of stainless steel",MARKS1205,Netherlands,Sri Lanka,Sri Lanka,7,2021,3,2021-03,2021-03-09,20210323,20210323,export,1,546219.26,2737.99,kg,KG,Kerckhaert Hoefijzerfabriek B.V.,[in full dataset],Vogelwaarde,,www.kerckhaert.com,[in full dataset],Y,ROYAL FERNWOOD PORCELAIN LIMITED,[in full dataset],Colombo,,www.dankotuwa.com,[in full dataset],Y,Kerckhaert Hoefijzerfabriek B.V.,[in full dataset],,16376.9,16376.9,Rotterdam,Main Container Port,Colombo,1,1,20.47,COSCO UNIVERSE,IMO7584223,LR,V844,367,CMDU,HBL,CMDU671442362,EGLV315817887,FCIU3849110,20GP,FLAT RACK,HC,FCL,CY/CY,DB Schenker,2535.82
Import (NL buyer),Aannemers- en Wegenbouw Bedrijf Pruntel en Zn. B.V.,73062100,730621,9,"Steel, stainless; casing and tubing of a kind used in drilling for oil and gas, n.e.c. in chapter 73, welded, (not seamless)",MARKS3285,Colombia,Netherlands,Netherlands,5,2021,3,2021-03,2021-03-09,20210327,20210327,import,1,171922.77,5218.42,kg,KG,UNITED HC S A S,[in full dataset],QUIBDO,,,,Y,Aannemers- en Wegenbouw Bedrijf Pruntel en Zn. B.V.,[in full dataset],Hattemerbroek,,,,Y,UNITED HC S A S,[in full dataset],,7271,7271,Barranquilla,Rotterdam,Hattemerbroek,1,1,9.09,YM WARRANTY,IMO7803601,LR,V953,730,YMLU,HBL,MSCU380009170,EGLV656562299,FCIU7982836,40GP,OPEN TOP,HC,FCL,CY/CY,Kuehne + Nagel,4657.01
Import (NL buyer),ZD Media,90059000,900590,9,"Binoculars, monoculars, other optical telescopes, astronomical instruments (excluding those of radio-astronomy); parts and accessories (including mountings)",MARKS6826,Czech Republic,Netherlands,Netherlands,7,2022,6,2022-06,2022-06-02,20220623,20220623,export,1,56658833,9386.02,kg,KG,"GZ Media, a.s.",[in full dataset],Loděnice,,www.gzmedia.com,[in full dataset],Y,ZD Media,[in full dataset],Pijnacker,,,,Y,"GZ Media, a.s.",[in full dataset],,7811.6,7811.6,Main Container Port,Rotterdam,Pijnacker,1,1,9.76,HYUNDAI LOYALTY,IMO6266765,MH,V187,53,YMLU,HBL,YMLU424061563,ONEY865904526,MSCU2132230,40GP,DRY,GP,LCL,CY/CFS,Nippon Express,8746.55
Export (NL seller),Stellantis Nederland B.V.,84132000,841320,6,"Pumps; hand, fitted or designed to be fitted with a measuring device, for liquids, other than those of item no. 8413.11 or 8413.19",MARKS4553,Netherlands,Antigua and Barbuda,Antigua and Barbuda,8,2022,6,2022-06,2022-06-08,20220617,20220617,export,1,271339.72,55545.26,kg,KG,Stellantis Nederland B.V.,[in full dataset],Amsterdam,,www.stellantis.com,[in full dataset],Y,Next International Limited,[in full dataset],Coolidge,,www.nextintl.com,[in full dataset],Y,Stellantis Nederland B.V.,[in full dataset],,11989.9,11989.9,Amsterdam,Main Container Port,Coolidge,1,1,14.99,BARZAN,IMO3139765,MH,V706,96,EGLV,SWB,ONEY622342591,YMLU617717675,FCIU5544342,45HC,FLAT RACK,GP,LCL,CY/CY,Yusen Logistics,51507.14
