vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Passenger car,870310,,87031090,8,"Vehicles; specially designed for travelling on snow, golf cars and similar vehicles",MARKS7294,India,South Africa,South Africa,6,2024,9,2024-09,2024-09-02,20240902,20240902,import,1,165843363.37,20116.85,kg,KG,TATA MOTORS PASSENGER VEHICLES LIMITED,,[in full dataset],Mumbai,,www.tatamotors.com,[in full dataset],Y,BARKLY OOS MOTORS CC,[in full dataset],BLOEMFONTEIN,,,,Y,TATA MOTORS PASSENGER VEHICLES LIMITED,[in full dataset],,8940.6,8940.6,"Nhava Sheva (JNPT), Mumbai",Ngqura,BLOEMFONTEIN,1,1,11.18,MSC OSCAR,IMO6365724,SG,V628,497,MSCU,SWB,MSCU298972386,EGLV263519102,TCLU2635229,20GP,FLAT RACK,GP,FCL,CY/CY,Expeditors,17988.39
Bus / coach,870220,87022085,,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS7402,India,South Africa,South Africa,9,2025,1,2025-01,2025-01-27,20250115,20250115,import,1,138535668.74,6651.97,kg,KG,VARROC ENGINEERING LIMITED,,[in full dataset],Aurangabad,,www.varroc.com,[in full dataset],Y,REMO TRAILERS (PTY) LTD,[in full dataset],DURBANVILLE,,,,Y,VARROC ENGINEERING LIMITED,[in full dataset],,23720.1,23720.1,Visakhapatnam,Ngqura,DURBANVILLE,1,1,29.65,CMA CGM JULES VERNE,IMO8311086,SG,V524,360,APLU,HBL,MAEU600206460,CMDU798459454,FCIU1533669,45HC,TANK,RF,FCL,CY/CY,DSV,6239.34
Bus / coach,870220,87022090,87022090,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS2397,Netherlands,South Africa,South Africa,9,2024,8,2024-08,2024-08-08,20240806,20240806,export,1,4407827.29,10979.72,kg,KG,German Brick Trading B.V.,,[in full dataset],Deest,,,,Y,VEREENIGING TRAILERS BUILDERS AND RENTALS (PTY) LTD,[in full dataset],VEREENIGING,,,,N,German Brick Trading B.V.,[in full dataset],,24036.3,24036.3,Rotterdam,Cape Town,VEREENIGING,1,1,30.05,APL MEXICO CITY,IMO8657003,SG,V554,834,HLCU,HBL,YMLU862654749,MSCU277249910,MSCU1097109,20GP,REEFER,RF,FCL,CY/CFS,Bollore Logistics,10123.45
Passenger car,870321,87032123,87032110,7,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity not over 1000cc",MARKS7030,Czech Republic,South Africa,South Africa,8,2024,6,2024-06,2024-06-25,20240613,20240613,import,1,4852769.77,32931.57,kg,KG,MAGNA Automotive Stity s.r.o.,,[in full dataset],Štíty,,www.magnastity.cz,[in full dataset],Y,R AND N TRUCK TRAILER BODIES (PTY) LTD,[in full dataset],CHATSWORTH,,,,Y,MAGNA Automotive Stity s.r.o.,[in full dataset],,9811.5,9811.5,Main Container Port,Ngqura,CHATSWORTH,1,1,12.26,BARZAN,IMO2618904,SG,V670,494,ONEY,MBL,YMLU534888458,MAEU214658555,GESU5581172,40HC,REEFER,GP,LCL,CFS/CFS,Nippon Express,29405.17
Bus / coach,870240,87024085,87024000,6,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS1993,Germany,South Africa,South Africa,5,2024,10,2024-10,2024-10-15,20241022,20241022,export,1,167615340.39,33655.2,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],N,LS GROUP MOTOR DIVISION (PTY) LTD,[in full dataset],WELKOM,,www.kiamotors.co.za,[in full dataset],Y,TRATON SE,[in full dataset],,17982,17982,Hamburg,Port Elizabeth,WELKOM,1,1,22.48,OOCL HONG KONG,IMO7446957,SG,V521,926,ZIMU,HBL,MAEU874865938,EGLV865401342,BMOU8750318,40HC,DRY,GP,FCL,CY/CFS,Nippon Express,31586.25
Bus / coach,870290,87029081,87029019,7,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS3407,Germany,South Africa,South Africa,6,2025,6,2025-06,2025-06-16,20250623,20250623,export,1,204041644.64,166931.14,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,AMAZING TRAILERS CC,[in full dataset],AMANZIMTOTI,,,,Y,TRATON SE,[in full dataset],,8152.6,8152.6,Wilhelmshaven,Durban,AMANZIMTOTI,1,1,10.19,EVER GIVEN,IMO5206745,MH,V926,434,HMMU,SWB,EGLV598245153,MSCU934308583,FCIU8635646,40GP,DRY,GP,LCL,CFS/CFS,DHL Global Forwarding,152641.82
Passenger car,870332,87033225,87033290,9,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",MARKS9654,Spain,South Africa,South Africa,8,2025,6,2025-06,2025-06-16,20250605,20250605,export,1,51643156.97,24655.49,kg,KG,AUTOS MARCOS SA,,[in full dataset],ORIHUELA,,www.marcosautomocion.es,[in full dataset],N,TOTAL TRANSPORTATION SOLUTIONS (PTY) LTD,[in full dataset],KLERKSDORP,,personal.nedbank.co.za,[in full dataset],N,AUTOS MARCOS SA,[in full dataset],,4438.2,4438.2,Bilbao,Cape Town,KLERKSDORP,1,1,5.55,MSC OSCAR,IMO9059801,MH,V334,808,OOLU,MBL,MSCU916522706,YMLU621961754,FCIU6916535,20GP,OPEN TOP,GP,LCL,CY/CY,Yusen Logistics,22821.12
Bus / coach,870240,87024090,870240000,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used",MARKS7026,Japan,South Africa,South Africa,5,2024,11,2024-11,2024-11-14,20241117,20241117,export,1,96054210.25,6262.49,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,CONDOR CYCLES CC,[in full dataset],EAST LONDON,,,,Y,SUBARU CORPORATION,[in full dataset],,5784,5784,Yokohama,Port Elizabeth,EAST LONDON,1,1,7.23,OOCL HONG KONG,IMO7309092,PA,V433,813,ZIMU,SWB,YMLU769728369,EGLV102568614,TCLU4733682,40GP,OPEN TOP,HC,FCL,CFS/CFS,DHL Global Forwarding,5619.04
Passenger car,870323,87032327,8703235990,7,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",MARKS1559,China,South Africa,South Africa,7,2024,4,2024-04,2024-04-16,20240407,20240407,import,1,111392670.52,35304.84,kg,KG,"China M & E Group Co., Ltd.",,[in full dataset],Beijing,,,,Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,"China M & E Group Co., Ltd.",[in full dataset],,14668.4,14668.4,Shenzhen,Durban,BRAKPAN,1,1,18.34,OOCL HONG KONG,IMO6108929,PA,V666,485,MAEU,SWB,COSU107687756,COSU355860732,TCLU7974480,40GP,REEFER,GP,LCL,CY/CFS,Bollore Logistics,32210.41
Passenger car,870340,87034025,8703401010,8,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS4449,United Kingdom,South Africa,South Africa,7,2025,10,2025-10,2025-10-10,20251001,20251001,export,1,13492083.84,34750.84,kg,KG,NVENT ELECTRIC PUBLIC LIMITED COMPANY,,[in full dataset],BRENTFORD,,,,Y,MOT BODIES CC,[in full dataset],PRETORIA,,,,Y,NVENT ELECTRIC PUBLIC LIMITED COMPANY,[in full dataset],,3183.4,3183.4,Felixstowe,Port Elizabeth,PRETORIA,1,1,3.98,EVER ACME,IMO9785137,MH,V936,989,MSCU,MBL,CMDU704026042,COSU430823476,GESU2476581,45HC,REEFER,RF,FCL,CFS/CFS,Nippon Express,30992.42
Goods vehicle (truck),870490,87049081,8704900100,7,"Vehicles; for transport of goods, n.e.c. in heading no. 8704",MARKS7536,United States,South Africa,South Africa,5,2025,12,2025-12,2025-12-06,20251218,20251218,import,1,24708196.86,31182.81,kg,KG,"The Travelers Companies, Inc.",,[in full dataset],New York,,www.travelers.com,[in full dataset],Y,PHOENIX MARINE MANUFACTURING (PTY) LTD,[in full dataset],DASSENBERG,,www.phoenixcatamarans.com,[in full dataset],N,"The Travelers Companies, Inc.",[in full dataset],,14117,14117,"Charleston, SC",Ngqura,DASSENBERG,1,1,17.65,CMA CGM JULES VERNE,IMO6333268,SG,V680,855,ZIMU,MBL,MSCU978280707,COSU467415978,MSCU5165985,40GP,REEFER,GP,FCL,CFS/CFS,DSV,29458.02
Motorcycle,871130,,87113019,7,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS3283,Thailand,South Africa,South Africa,5,2025,7,2025-07,2025-07-27,20250716,20250716,import,1,39635623.71,172660.24,kg,KG,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,,[in full dataset],PHRA KHANONG,,www.bangchak.co.th,[in full dataset],Y,VA VROOM VEHICLE REPLACEMENTS (PTY) LTD,[in full dataset],CENTURION,,,,Y,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,[in full dataset],,4920,4920,Laem Chabang,Port Elizabeth,CENTURION,1,1,6.15,CMA CGM JULES VERNE,IMO6388532,SG,V121,396,MSCU,SWB,HLCU264097615,MSCU999119928,TGHU7652988,40GP,FLAT RACK,GP,FCL,CY/CFS,CEVA Logistics,163030.26
Goods vehicle (truck),870443,87044310,,8,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 20,000kg",MARKS1609,India,South Africa,South Africa,7,2025,7,2025-07,2025-07-08,20250703,20250703,import,1,174434082.38,13812.92,kg,KG,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,,[in full dataset],Mumbai,,www.mahindrafinance.com,[in full dataset],Y,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,[in full dataset],,18631.9,18631.9,"Nhava Sheva (JNPT), Mumbai",Ngqura,BLOEMFONTEIN,1,1,23.29,HMM ALGECIRAS,IMO8225344,MH,V988,343,OOLU,SWB,HLCU105492702,MAEU835636833,CAIU1436848,40HC,DRY,RF,LCL,CFS/CFS,Nippon Express,12507.79
Passenger car,870324,87032490,870324000,9,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",MARKS3091,Japan,South Africa,South Africa,5,2025,1,2025-01,2025-01-05,20250126,20250126,import,1,36000059.15,29927.6,kg,KG,IDOM INC.,,[in full dataset],CHIYODA-KU,,idom-inc.com/,[in full dataset],Y,MOUNT CURRIE TRACTORS CC,[in full dataset],KOKSTAD,,www.stihl.co.za,[in full dataset],Y,IDOM INC.,[in full dataset],,10068.4,10068.4,Kobe,Cape Town,KOKSTAD,1,1,12.59,OOCL HONG KONG,IMO9191544,MH,V871,78,EGLV,MBL,YMLU340331926,YMLU301822189,CAIU5295746,45HC,REEFER,HC,FCL,CFS/CFS,Sinotrans,27926.33
Passenger car,870331,87033180,87033191,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity not over 1500cc",MARKS5604,India,South Africa,South Africa,6,2025,10,2025-10,2025-10-27,20251012,20251012,import,1,234536848.74,12535.14,kg,KG,GABRIEL INDIA LIMITED,,[in full dataset],Pune,,www.anandgroupindia.com,[in full dataset],Y,SCOTTS TRAILERS CC,[in full dataset],ESTCOURT,,,,Y,GABRIEL INDIA LIMITED,[in full dataset],,24601.9,24601.9,Chennai,Ngqura,ESTCOURT,1,1,30.75,EVER GIVEN,IMO5445546,SG,V705,781,ZIMU,MBL,MAEU335476294,YMLU291316873,BMOU7618148,20GP,TANK,HC,LCL,CY/CFS,DHL Global Forwarding,11932.67
Passenger car,870333,87033325,870333000,6,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",MARKS9108,Japan,South Africa,South Africa,5,2024,8,2024-08,2024-08-19,20240811,20240811,export,1,77483681.08,24604.1,kg,KG,"NEXTAGE CO., LTD.",,[in full dataset],NAGOYA,,www.nextage.jp/,[in full dataset],Y,MPM TRAILERS (PTY) LTD,[in full dataset],MOGALE CITY,,,,Y,"NEXTAGE CO., LTD.",[in full dataset],,6764.6,6764.6,Kobe,Ngqura,MOGALE CITY,1,1,8.46,MADRID MAERSK,IMO5494629,MH,V222,210,COSU,HBL,HLCU692616305,MSCU458194205,GESU7838263,40HC,REEFER,GP,FCL,CFS/CFS,CEVA Logistics,22884.57
Passenger car,870333,87033390,8703332990,5,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",MARKS9399,China,South Africa,South Africa,5,2025,6,2025-06,2025-06-04,20250618,20250618,import,1,167729224.14,189809.91,kg,KG,"HuaYu Automotive Systems Co.,Ltd",,[in full dataset],Shanghai,,www.hasco-group.com,[in full dataset],Y,2010 TRAILERS CC,[in full dataset],LENASIA,,,,N,"HuaYu Automotive Systems Co.,Ltd",[in full dataset],,14518,14518,Ningbo-Zhoushan,Cape Town,LENASIA,1,1,18.15,OOCL HONG KONG,IMO5633166,SG,V612,151,ONEY,HBL,MAEU621201520,YMLU737545131,MSCU2245784,40GP,DRY,RF,FCL,CFS/CFS,Nippon Express,174611.63
Passenger car,870333,87033325,87033319,9,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",MARKS4631,Germany,South Africa,South Africa,8,2024,4,2024-04,2024-04-23,20240408,20240408,export,1,233343120.36,101692.18,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],N,HENRED FRUEHAUF (PTY) LTD,[in full dataset],BLOEMFONTEIN,,www.yep.co.za,[in full dataset],Y,TRATON SE,[in full dataset],,14315.8,14315.8,Hamburg,Ngqura,BLOEMFONTEIN,1,1,17.89,EVER ACME,IMO3417713,MH,V960,672,APLU,HBL,YMLU705697183,YMLU946584385,FCIU3694885,40HC,TANK,RF,FCL,CFS/CFS,Bollore Logistics,92457.87
Goods vehicle (truck),870441,87044175,8704410000,7,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motor as motor for propulsion, unassembled as in section 14, (gvw not exceeding 5000kg), for the transport of goods, vans",MARKS8303,China,South Africa,South Africa,9,2025,12,2025-12,2025-12-16,20251203,20251203,import,1,201748515.54,158773.44,kg,KG,"HuaYu Automotive Systems Co.,Ltd",,[in full dataset],Shanghai,,www.hasco-group.com,[in full dataset],Y,ZF SERVICES SOUTH AFRICA (PTY) LTD,[in full dataset],EDENVALE,,www.zfsa.co.za,[in full dataset],Y,"HuaYu Automotive Systems Co.,Ltd",[in full dataset],,5719.2,5719.2,Dalian,Port Elizabeth,EDENVALE,1,1,7.15,MADRID MAERSK,IMO2865193,MH,V629,271,ONEY,SWB,CMDU323750930,CMDU717407199,MSCU6904194,20GP,REEFER,RF,LCL,CFS/CFS,Expeditors,140702.08
Goods vehicle (truck),870432,87043210,870432000,6,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS1102,Japan,South Africa,South Africa,5,2025,12,2025-12,2025-12-25,20251209,20251209,export,1,117920836.37,87044.97,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],Y,POWER TRAILERS CC,[in full dataset],KUILS RIVER,,,,Y,SUBARU CORPORATION,[in full dataset],,17186.7,17186.7,Nagoya,Ngqura,KUILS RIVER,1,1,21.48,YM WARRANTY,IMO1274950,MH,V226,169,HLCU,MBL,HLCU468168464,ONEY396869528,BMOU2998319,45HC,REEFER,RF,FCL,CFS/CFS,DB Schenker,77038.25
Motorcycle,871120,87112090,8711202000,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",MARKS9505,China,South Africa,South Africa,6,2024,8,2024-08,2024-08-07,20240817,20240817,export,1,149147057,232277.4,kg,KG,"BAIC Foton Motor Co.,Ltd.",,[in full dataset],Beijing,,www.foton.com.cn,[in full dataset],Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,"BAIC Foton Motor Co.,Ltd.",[in full dataset],,1764.4,1764.4,Shenzhen,Port Elizabeth,BRAKPAN,1,1,2.21,EVER GIVEN,IMO9394765,SG,V822,776,YMLU,SWB,CMDU757526336,ONEY712604433,TCLU8746985,40HC,TANK,RF,FCL,CFS/CFS,DHL Global Forwarding,219407.8
Motorcycle,871160,,871160000,7,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS6302,Japan,South Africa,South Africa,8,2025,10,2025-10,2025-10-16,20251001,20251001,export,1,115169565.59,52249.61,kg,KG,GLP J-REIT,,[in full dataset],CHUO-KU,,www.glpjreit.com/,[in full dataset],Y,AMAZING TRAILERS CC,[in full dataset],AMANZIMTOTI,,,,N,GLP J-REIT,[in full dataset],,8885,8885,Yokohama,Port Elizabeth,AMANZIMTOTI,1,1,11.11,MSC GULSUN,IMO9236055,LR,V114,468,APLU,SWB,EGLV564966681,COSU673701210,TCLU1444034,40GP,TANK,RF,FCL,CY/CFS,CEVA Logistics,49147.36
