product,india_itc_hs8,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_duns,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Ginger (whole),09101130,09101100,091011,5,"Spices; ginger, neither crushed nor ground",MARKS9945,India,Netherlands,Netherlands,7,2025,8,2025-08,2025-08-23,20250816,20250816,import,1,3726323.53,1618.29,kg,KG,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],[in full dataset],Aurangabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],,22715.7,22715.7,Tuticorin,Rotterdam,Utrecht,1,1,28.39,HMM ALGECIRAS,IMO8286698,MH,V657,2,YMLU,MBL,ONEY830626095,MSCU985643593,GESU1558538,45HC,FLAT RACK,RF,LCL,CY/CY,Bollore Logistics,1476.49
Coriander seeds,09092190,09092100,090921,5,"Spices; coriander seeds, neither crushed nor ground",MARKS3388,India,Netherlands,Netherlands,6,2024,2,2024-02,2024-02-11,20240228,20240228,import,1,3777184.92,26440.92,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,Delo B.V.,[in full dataset],Uden,,www.delo.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,24653.3,24653.3,Cochin,Amsterdam,Uden,1,1,30.82,ONE APUS,IMO2086964,SG,V757,859,CMDU,HBL,COSU744597301,CMDU417086637,MSCU4647306,40GP,TANK,GP,FCL,CFS/CFS,Sinotrans,24554.46
"Black pepper, crushed/ground",09041200,09041200,090412,9,"Spices; pepper (of the genus piper), crushed or ground",MARKS2133,India,Netherlands,Netherlands,5,2024,7,2024-07,2024-07-11,20240720,20240720,import,1,9582182.28,988.33,kg,KG,INDUS COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Nellore,,www.induscoffee.in,[in full dataset],Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,INDUS COFFEE PRIVATE LIMITED,[in full dataset],,4306.8,4306.8,Kandla,Rotterdam,Steenwijk,1,1,5.38,EVER ACME,IMO9277386,MH,V465,30,MSCU,SWB,CMDU262902684,COSU297901289,BMOU1569676,45HC,OPEN TOP,HC,FCL,CFS/CFS,Yusen Logistics,898.39
"Ginger, crushed/ground",09101210,09101200,091012,9,"Spices; ginger, crushed or ground",MARKS1606,India,Netherlands,Netherlands,8,2024,2,2024-02,2024-02-19,20240205,20240205,import,1,3777184.92,6214.76,kg,KG,QUALITY SPICES & FOOD EXPORTS PRIVATE LIMITED,[in full dataset],[in full dataset],Mumbai,,qualityspicesusa.com/,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,QUALITY SPICES & FOOD EXPORTS PRIVATE LIMITED,[in full dataset],,6864.3,6864.3,Cochin,Rotterdam,Utrecht,1,1,8.58,YM WARRANTY,IMO9914557,MH,V298,565,YMLU,HBL,MAEU202007689,YMLU586633446,MSCU9449310,20GP,DRY,HC,FCL,CFS/CFS,Expeditors,5539.19
Black pepper (whole),09041140,09041100,090411,7,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS7588,India,Netherlands,Netherlands,9,2024,11,2024-11,2024-11-19,20241124,20241124,import,1,4123757.67,8874.76,kg,KG,JAY BHARAT SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Cuttack,,www.bharatmasala.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,JAY BHARAT SPICES PRIVATE LIMITED,[in full dataset],,6863.7,6863.7,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,8.58,HYUNDAI LOYALTY,IMO6251592,LR,V760,160,OOLU,SWB,YMLU679907371,YMLU251020598,MSCU4955980,40GP,TANK,GP,FCL,CFS/CFS,Yusen Logistics,7848.14
"Ginger, crushed/ground",09101210,09101200,091012,6,"Spices; ginger, crushed or ground",MARKS3467,India,Netherlands,Netherlands,7,2024,1,2024-01,2024-01-08,20240103,20240103,import,1,3584339.46,9196.11,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,3169.1,3169.1,Kolkata,Rotterdam,Utrecht,1,1,3.96,HMM ALGECIRAS,IMO7671182,MH,V205,292,ZIMU,HBL,MAEU564471591,MAEU170254744,CAIU2088862,40HC,REEFER,RF,FCL,CFS/CFS,CEVA Logistics,8371.81
Ginger (whole),09101190,09101100,091011,5,"Spices; ginger, neither crushed nor ground",MARKS7779,India,Netherlands,Netherlands,6,2024,9,2024-09,2024-09-07,20240922,20240922,import,1,6665850.08,3283.96,kg,KG,SRI HANUMAN COFFEE WORKS,[in full dataset],[in full dataset],Bengaluru,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,SRI HANUMAN COFFEE WORKS,[in full dataset],,16367.4,16367.4,Visakhapatnam,Rotterdam,Utrecht,1,1,20.46,ONE APUS,IMO2887355,MH,V596,511,APLU,SWB,ONEY535401768,EGLV416307046,TGHU5988570,40GP,FLAT RACK,GP,LCL,CFS/CFS,Yusen Logistics,3014.48
"Ginger, crushed/ground",09101210,09101200,091012,7,"Spices; ginger, crushed or ground",MARKS9404,India,Netherlands,Netherlands,7,2024,12,2024-12,2024-12-26,20241210,20241210,import,1,4973909.49,14305.46,kg,KG,AMRUTHA COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,,,Y,Sign Language Coffee Bar B.V.,[in full dataset],Veghel,,www.signlanguagecoffeebar.nl,[in full dataset],Y,AMRUTHA COFFEE PRIVATE LIMITED,[in full dataset],,11653.9,11653.9,Cochin,Rotterdam,Veghel,1,1,14.57,BARZAN,IMO3418011,MH,V350,171,APLU,SWB,YMLU116846359,HLCU914267585,TGHU2435489,45HC,TANK,HC,FCL,CY/CY,Nippon Express,13401.72
"Chilli/Capsicum, crushed/ground",09042229,09042200,090422,5,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS7048,India,Netherlands,Netherlands,9,2024,1,2024-01,2024-01-22,20240105,20240105,import,1,3584339.46,9770.29,kg,KG,MALABAR SPICES COMPANY LIMITED,[in full dataset],[in full dataset],Ernakulam,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MALABAR SPICES COMPANY LIMITED,[in full dataset],,9064.6,9064.6,Cochin,Rotterdam,Utrecht,1,1,11.33,MSC GULSUN,IMO2618647,SG,V287,636,HMMU,MBL,CMDU857339132,YMLU813488003,BMOU5750874,40HC,TANK,RF,FCL,CY/CFS,Yusen Logistics,8822.18
"Chilli/Capsicum, crushed/ground",09042211,09042200,090422,8,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS9646,India,Netherlands,Netherlands,7,2024,10,2024-10,2024-10-17,20241014,20241014,import,1,5609457.12,808.71,kg,KG,SRI NARASUS COFFEE COMPANY PRIVATE LIMITED,[in full dataset],[in full dataset],Salem,,www.narasuscoffee.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SRI NARASUS COFFEE COMPANY PRIVATE LIMITED,[in full dataset],,3793.2,3793.2,Kolkata,Rotterdam,Utrecht,1,1,4.74,CSCL GLOBE,IMO9369986,PA,V514,930,ONEY,SWB,ONEY992004126,HLCU338703094,CAIU4535521,20GP,TANK,HC,FCL,CY/CY,DSV,766.14
Black pepper (whole),09041140,09041100,090411,9,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS9702,India,Netherlands,Netherlands,5,2025,3,2025-03,2025-03-03,20250307,20250307,import,1,4166176.36,27237.73,kg,KG,TATA COFFEE LIMITED,[in full dataset],[in full dataset],Bengaluru,,www.tatacoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,TATA COFFEE LIMITED,[in full dataset],,19113.3,19113.3,"Nhava Sheva (JNPT), Mumbai",Rotterdam,Utrecht,1,1,23.89,HMM ALGECIRAS,IMO9544154,MH,V954,938,APLU,MBL,CMDU277126081,MSCU442469535,CAIU6629597,40HC,FLAT RACK,GP,LCL,CY/CY,Yusen Logistics,25211.28
Ginger (whole),09101110,09101100,091011,7,"Spices; ginger, neither crushed nor ground",MARKS1436,India,Netherlands,Netherlands,7,2025,3,2025-03,2025-03-16,20250303,20250303,import,1,4166176.36,9201.52,kg,KG,MDP COFFEE AND SERVICES,[in full dataset],[in full dataset],Hyderabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MDP COFFEE AND SERVICES,[in full dataset],,7871.1,7871.1,Chennai,Amsterdam,Utrecht,1,1,9.84,MOL TRIUMPH,IMO5383884,SG,V832,105,YMLU,SWB,MSCU446483801,MSCU806593080,BMOU3639940,20GP,REEFER,RF,FCL,CFS/CFS,Nippon Express,8135.18
Turmeric,09103090,09103000,091030,5,Spices; turmeric (curcuma),MARKS7427,India,Netherlands,Netherlands,5,2024,8,2024-08,2024-08-27,20240821,20240821,import,1,6613112.5,15701.64,kg,KG,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],[in full dataset],Mumbai,,www.esfl.co.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],,13124.8,13124.8,"Nhava Sheva (JNPT), Mumbai",Rotterdam,Utrecht,1,1,16.41,MAERSK MOLLER,IMO8939012,PA,V667,706,COSU,HBL,EGLV899895575,YMLU215209898,TCLU3268344,40GP,DRY,GP,FCL,CY/CY,Nippon Express,14478.1
Turmeric,09103010,09103000,091030,5,Spices; turmeric (curcuma),MARKS4021,India,Netherlands,Netherlands,7,2024,9,2024-09,2024-09-05,20240917,20240917,import,1,6665850.08,26075.16,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,5420.2,5420.2,"Mundra, Gujarat",Rotterdam,Utrecht,1,1,6.78,OOCL HONG KONG,IMO8368282,PA,V406,78,CMDU,SWB,YMLU469709432,CMDU595218407,BMOU5948614,40HC,DRY,HC,LCL,CY/CFS,Bollore Logistics,23311.32
"Chilli/Capsicum, crushed/ground",09042212,09042200,090422,7,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS3438,India,Netherlands,Netherlands,8,2025,6,2025-06,2025-06-03,20250621,20250621,import,1,11170668.99,786.03,kg,KG,WESTERN GHATS SPICES PIN-POINT LLP,[in full dataset],[in full dataset],Idukki,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,WESTERN GHATS SPICES PIN-POINT LLP,[in full dataset],,19118.4,19118.4,Chennai,Amsterdam,Steenwijk,1,1,23.9,CMA CGM JULES VERNE,IMO2727989,SG,V982,398,MAEU,SWB,ONEY127915263,EGLV807924301,CAIU2824253,40GP,TANK,RF,FCL,CFS/CFS,Yusen Logistics,700.32
Coriander seeds,09092110,09092100,090921,8,"Spices; coriander seeds, neither crushed nor ground",MARKS9327,India,Netherlands,Netherlands,5,2024,7,2024-07,2024-07-17,20240726,20240726,import,1,9582182.28,5273.06,kg,KG,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],[in full dataset],Chennai,,www.aachigroup.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,AACHI SPICES AND FOODS PRIVATE LIMITED,[in full dataset],,9579.1,9579.1,Kandla,Rotterdam,Utrecht,1,1,11.97,CSCL GLOBE,IMO5776927,MH,V512,943,OOLU,SWB,COSU738987884,MSCU972415839,MSCU3138818,20GP,DRY,RF,FCL,CY/CY,CEVA Logistics,4668.6
Turmeric,09103020,09103000,091030,5,Spices; turmeric (curcuma),MARKS3907,India,Netherlands,Netherlands,6,2025,9,2025-09,2025-09-10,20250921,20250921,import,1,4355714.92,6891.44,kg,KG,LEO DRYFRUITS & SPICES TRADING LIMITED,[in full dataset],[in full dataset],Navi Mumbai,,www.leodryfruitsandspices.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,LEO DRYFRUITS & SPICES TRADING LIMITED,[in full dataset],,3539.2,3539.2,Chennai,Amsterdam,Utrecht,1,1,4.42,EVER ACME,IMO3559743,LR,V716,418,COSU,MBL,EGLV789061357,COSU563665489,MSCU4585027,20GP,DRY,RF,FCL,CFS/CFS,Expeditors,6099.29
Cumin seeds,09093121,09093100,090931,7,"Spices; cumin seeds, neither crushed nor ground",MARKS9925,India,Netherlands,Netherlands,9,2025,4,2025-04,2025-04-24,20250410,20250410,import,1,5330617.29,11449.79,kg,KG,COTHAS COFFEE CO,[in full dataset],[in full dataset],Bengaluru Rural,,www.cothas.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,COTHAS COFFEE CO,[in full dataset],,10030.5,10030.5,Cochin,Rotterdam,Utrecht,1,1,12.54,HYUNDAI LOYALTY,IMO7832186,PA,V697,620,MAEU,MBL,MSCU421067780,MSCU799965770,BMOU4317058,40HC,TANK,GP,FCL,CFS/CFS,DB Schenker,10221.12
"Black pepper, crushed/ground",09041200,09041200,090412,6,"Spices; pepper (of the genus piper), crushed or ground",MARKS7095,India,Netherlands,Netherlands,5,2024,6,2024-06,2024-06-14,20240611,20240611,import,1,5426151.02,2510.48,kg,KG,SRI NARASUS COFFEE COMPANY PRIVATE LIMITED,[in full dataset],[in full dataset],Salem,,www.narasuscoffee.in,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SRI NARASUS COFFEE COMPANY PRIVATE LIMITED,[in full dataset],,15928.2,15928.2,Chennai,Rotterdam,Utrecht,1,1,19.91,OOCL HONG KONG,IMO2284143,SG,V580,278,APLU,HBL,CMDU188468253,HLCU199503585,CAIU1898500,45HC,REEFER,HC,FCL,CFS/CFS,Sinotrans,2333.54
"Ginger, crushed/ground",09101210,09101200,091012,7,"Spices; ginger, crushed or ground",MARKS1046,India,Netherlands,Netherlands,5,2025,8,2025-08,2025-08-16,20250825,20250825,import,1,3726323.53,1763.52,kg,KG,BLD FOOD AND SPICES LLP,[in full dataset],[in full dataset],Raigad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,BLD FOOD AND SPICES LLP,[in full dataset],,2375.8,2375.8,"Mundra, Gujarat",Amsterdam,Utrecht,1,1,2.97,APL MEXICO CITY,IMO7651099,MH,V326,801,COSU,SWB,ONEY915643207,MSCU932511081,FCIU4688814,40HC,OPEN TOP,GP,FCL,CY/CY,Kuehne + Nagel,1614.33
"Black pepper, crushed/ground",09041200,09041200,090412,9,"Spices; pepper (of the genus piper), crushed or ground",MARKS3035,India,Netherlands,Netherlands,9,2025,3,2025-03,2025-03-05,20250316,20250316,import,1,4166176.36,26148.92,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,2946.4,2946.4,Visakhapatnam,Amsterdam,Utrecht,1,1,3.68,MSC OSCAR,IMO3231103,SG,V745,182,ZIMU,SWB,CMDU338597636,MAEU467729342,FCIU3442038,40GP,FLAT RACK,GP,FCL,CY/CY,DSV,23965.41
"Coriander, crushed/ground",09092200,09092200,090922,8,"Spices; coriander seeds, crushed or ground",MARKS6299,India,Netherlands,Netherlands,8,2025,3,2025-03,2025-03-27,20250322,20250322,import,1,4166176.36,3014.49,kg,KG,BARISTS COFFEE COMPANY LIMITED,[in full dataset],[in full dataset],New Delhi,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,BARISTS COFFEE COMPANY LIMITED,[in full dataset],,18013.1,18013.1,"Mundra, Gujarat",Rotterdam,Utrecht,1,1,22.52,MSC OSCAR,IMO1899311,SG,V848,302,MAEU,MBL,MAEU378981900,ONEY668744166,GESU9355485,40HC,FLAT RACK,GP,FCL,CFS/CFS,DB Schenker,2801.38
