nigeria_cet10,declaration_no,declaration_date,clearance_date,flow,customs_regime,entry_type,hs_code,product_description,country_of_origin,country_of_export,country_of_destination,exporter_name,exporter_tax_id,exporter_address,exporter_city,exporter_country,exporter_contact,importer_name,importer_tax_id,importer_address,importer_city,importer_country,importer_contact,mode_of_transport,customs_house,port_of_clearance,year,month,period,quantity,unit_of_measure,net_weight_kg,gross_weight_kg,customs_value_usd,cif_value_usd,fob_value_usd,freight_usd,insurance_usd,unit_price_usd,currency,exchange_rate,incoterms,duty_rate_pct,duty_amount_usd,vat_tax_usd,total_tax_usd,customs_broker,declarant_ref,package_count,package_type,marks_numbers,lane_value_usd,nigeria_role
7315191000,CD202505000000121548,2025-05-19,2025-05-01,export,70,Warehouse,731519,"Chain; articulated link parts, of iron or steel",United States,United States,Nigeria,Amrize ACM Inc.,[in full dataset],[in full dataset],Chicago,United States,[in full dataset],ENAMELWARE FACTORY LIMITED,[in full dataset],,,Nigeria,,SEA,Main Container Port,Main Container Port,2025,5,2025-05,11584.5,KG,11584.5,13072.4,4451.07,4451.07,4165.58,271.04,14.45,0.36,INR,88.0401,CIF,6.4,284.87,473.59,758.46,DSV Customs,REF5187439,350,PALLETS,PKG48881,5306681,Nigeria importer (import)
2711130000,CD201712000000629679,2017-12-09,2017-12-23,import,10,Transit,271113,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes",Nigeria,Nigeria,Thailand,NIGERIAN NATIONAL PETROLEUM COMPANY LIMITED,[in full dataset],[in full dataset],Abuja,Nigeria,[in full dataset],PTT PUBLIC COMPANY LIMITED,[in full dataset],[in full dataset],CHATUCHAK,Thailand,[in full dataset],AIR,Bangkok,Bangkok,2017,12,2017-12,13942.7,KG,13942.7,14501.4,39309.37,39309.37,35692.07,3406.24,211.06,2.56,USD,1,EXW,4.1,1611.68,4910.53,6522.21,DSV Customs,REF5775111,297,BALES,PKG65277,66380648.53,Nigeria exporter (export)
2601119000,CD202604000000000383,2026-04-27,2026-04-09,import,42,Temporary,260111,Iron ores and concentrates; non-agglomerated,Nigeria,Nigeria,Brazil,MARCONI.NG EPC LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],DIA BRASIL SOCIEDADE LIMITADA EM RECUPERACAO JUDICIAL,[in full dataset],[in full dataset],SAO PAULO,Brazil,,SEA,Paranagua,Santos,2026,4,2026-04,3356,KG,3356,3561.1,971.06,971.06,931.1,38.57,1.39,0.28,INR,15.5273,DAP,6.3,61.18,51.61,112.79,CEVA Customs,REF7584835,189,BALES,PKG74324,486714,Nigeria exporter (export)
1302320000,CD201506000000005371,2015-06-01,2015-06-05,import,61,Consumption,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",Nigeria,Nigeria,Germany,NURUDDEEN COLLEGE FOR ARABIC & ISLAMIC STUDIES YAYAYI KWAMI LTD,[in full dataset],[in full dataset],Kwami,Nigeria,,Natural Gums Dr. W. Agster GmbH,[in full dataset],[in full dataset],Reutlingen,Germany,[in full dataset],SEA,Hamburg,Wilhelmshaven,2015,6,2015-06,6659.3,KG,6659.3,7027,717.94,717.94,660.86,56.18,0.9,0.1,EUR,18.4982,FCA,4.7,33.74,150.34,184.08,AN Deringer,REF9802261,178,DRUMS,PKG2894,133198.11,Nigeria exporter (export)
1510901000,CD201607000000361364,2016-07-26,2016-07-03,import,70,Consumption,151090,"Vegetable oils; oils and their fractions n.e.c. in heading 1510, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509",Nigeria,Nigeria,Germany,INTERNATIONAL FRACTIONATION AND MARGARINE PRODUCTS LTD,[in full dataset],[in full dataset],Lagos,Nigeria,,Kunibert Rape GmbH,[in full dataset],[in full dataset],Diepholz,Germany,[in full dataset],ROAD,Hamburg,Wilhelmshaven,2016,7,2016-07,8615.3,KG,8615.3,9227.1,95578.09,95578.09,88409.24,6703.41,465.44,10.26,GBP,48.1761,DAP,6.6,6308.15,15282.94,21591.09,Kuehne+Nagel Brokerage,REF3319639,469,ROLLS,PKG89210,2543876.47,Nigeria exporter (export)
2612100000,CD202604000000000315,2026-04-07,2026-04-10,import,70,Warehouse,261210,Uranium ores and concentrates,Nigeria,Nigeria,Brazil,NAGOS PROJECTS LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],MAGAZINE LUIZA S/A,[in full dataset],[in full dataset],FRANCA,Brazil,[in full dataset],RAIL,Santos,Itajai,2026,4,2026-04,24307.4,KG,24307.4,25315.9,2665.33,2665.33,2436.63,215.62,13.08,0.1,GBP,24.0673,CIF,3.6,95.95,193.29,289.24,Expeditors Customs,REF9265717,258,PALLETS,PKG72005,486714,Nigeria exporter (export)
2607000000,CD202109000000227585,2021-09-17,2021-09-04,import,40,Consumption,260700,Lead ores and concentrates,Nigeria,Nigeria,Malaysia,PANALPINA WORLD TRANSPORT (NIGERIA) LTD,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],MUHIBBAH ENGINEERING (M) BHD.,[in full dataset],[in full dataset],Klang,Malaysia,[in full dataset],SEA,Tanjung Pelepas,Port Klang,2021,9,2021-09,13078.7,KG,13078.7,13988.2,5012.53,5012.53,4567.89,419.96,24.68,0.35,EUR,92.0312,CFR,5.9,295.74,530.83,826.57,Descartes,REF2632341,259,CARTONS,PKG18822,12900926.17,Nigeria exporter (export)
2604000000,CD201912000000083310,2019-12-27,2019-12-09,import,10,Transit,260400,Nickel ores and concentrates,Nigeria,Nigeria,Malaysia,NAGOS PROJECTS LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],7-ELEVEN MALAYSIA HOLDINGS BERHAD,[in full dataset],[in full dataset],Kuala Lumpur,Malaysia,[in full dataset],RAIL,Port Klang,Tanjung Pelepas,2019,12,2019-12,16109.6,KG,16109.6,16441.4,2697.72,2697.72,2482.16,199.56,16,0.15,INR,12.9625,CFR,4.6,124.1,141.09,265.19,DHL Customs Svc,REF6760496,412,CRATES,PKG75634,4040293.33,Nigeria exporter (export)
8477900000,CD202101000001385446,2021-01-19,2021-01-01,export,42,Warehouse,847790,"Machinery; parts of the machines of heading no. 8477, n.e.c. in item no. 8477.90",China,China,Nigeria,"Jiangsu Huahong Technology Stock Co.,Ltd",[in full dataset],[in full dataset],Jiangyin,China,[in full dataset],DE COON SERVICES LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],SEA,Main Container Port,Main Container Port,2021,1,2021-01,18965.4,KG,18965.4,21506.9,10061.91,10061.91,9599.97,392.16,69.78,0.51,CNY,94.4098,EXW,2.7,271.67,1860.04,2131.71,Flexport Customs,REF6099221,11,BULK,PKG97069,152289143,Nigeria importer (import)
3824300000,CD202409000000207631,2024-09-26,2024-09-28,export,10,Temporary,382430,"Metal carbides, non-agglomerated; mixed together or with metallic binders",China,China,Nigeria,"Hengyi Petrochemical Co.,Ltd.",[in full dataset],[in full dataset],Hangzhou,China,[in full dataset],INDORAMA ELEME FERTILIZER & CHEMICALS LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],RAIL,Main Container Port,Main Container Port,2024,9,2024-09,6084.1,KG,6084.1,6616.9,80032.1,80032.1,74897.9,4945.43,188.77,12.31,USD,1,FCA,3.7,2961.19,16598.66,19559.85,DB Schenker Customs,REF3695593,24,CARTONS,PKG85331,14471660,Nigeria importer (import)
1302190000,CD201507000000023735,2015-07-12,2015-07-25,export,10,Re-export,130219,Vegetable saps and extracts; n.e.c. in item no. 1302.1,United Kingdom,United Kingdom,Nigeria,CHAUMET (LONDON) LIMITED,[in full dataset],[in full dataset],LONDON,United Kingdom,[in full dataset],GUM ARABIC COMPANY NIGERIA (GACON) LIMITED,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],ROAD,Main Container Port,Main Container Port,2015,7,2015-07,1174.6,KG,1174.6,1260.7,1054.68,1054.68,1005.47,44.02,5.19,0.86,JPY,44.4587,FOB,6.3,66.44,168.17,234.61,DB Schenker Customs,REF3739577,30,ROLLS,PKG61692,742006.77,Nigeria importer (import)
2904100000,CD202304000000161575,2023-04-22,2023-04-24,export,40,Re-export,290410,"Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated",China,China,Nigeria,"Qilu Antibiotics Pharmaceutical Co., Ltd.",[in full dataset],[in full dataset],Jinan,China,[in full dataset],BILE ACIDS NIGERIA LTD,[in full dataset],[in full dataset],Suleja,Nigeria,,ROAD,Main Container Port,Main Container Port,2023,4,2023-04,4906.9,KG,4906.9,5480.4,34527.6,34527.6,32588.86,1900.98,37.76,6.64,CNY,66.5135,EXW,3.6,1242.99,6438.71,7681.7,Descartes,REF1928094,378,PALLETS,PKG79792,18274065,Nigeria importer (import)
0410100000,CD202603000000096978,2026-03-22,2026-03-02,export,61,Consumption,041010,Animal products; insects,Ireland,Ireland,Nigeria,DAIRYGOLD LIMITED,[in full dataset],[in full dataset],CORK,Ireland,[in full dataset],FRIESLANDCAMPINA WAMCO NIGERIA PLC,[in full dataset],[in full dataset],Ikeja,Nigeria,[in full dataset],SEA,Main Container Port,Main Container Port,2026,3,2026-03,15449.4,KG,15449.4,16972.3,6234.49,6234.49,5950.28,265.97,18.24,0.39,USD,1,FOB,25.8,1608.5,1568.6,3177.1,Expeditors Customs,REF5317459,64,ROLLS,PKG69941,2867477.02,Nigeria importer (import)
4010360000,CD201806000000107992,2018-06-08,2018-06-18,import,70,Re-export,401036,"Rubber; vulcanised, endless synchronous belts, of an outside circumference exceeding 150 cm but not exceeding 198 cm",Nigeria,Nigeria,Poland,THE OKOMU OIL PALM COMPANY PLC,[in full dataset],[in full dataset],Benin City,Nigeria,[in full dataset],ORLEN S A,[in full dataset],[in full dataset],Płock,Poland,[in full dataset],SEA,Gdansk,Gdansk,2018,6,2018-06,8852,KG,8852,9452.6,7264.34,7264.34,6850.45,383.09,30.8,0.77,CNY,95.9753,DAP,9.9,719.17,1197.53,1916.7,DSV Customs,REF5482566,77,PALLETS,PKG18939,312224,Nigeria exporter (export)
2903410000,CD202304000000161970,2023-04-07,2023-04-16,export,61,Consumption,290341,Saturated fluorinated derivatives of acyclic hydrocarbons; trifluoromethane (HFC-23),China,China,Nigeria,"Phenol (shaanxi) Brand Management Co., Ltd",[in full dataset],[in full dataset],Xi'an,China,,ESTER'S BETHEL ENTERPRISE,[in full dataset],[in full dataset],Olomore,Nigeria,,RAIL,Main Container Port,Main Container Port,2023,4,2023-04,15770.9,KG,15770.9,16244.3,1551.79,1551.79,1472.28,69.72,9.79,0.09,GBP,30.4519,CIF,4,62.07,0,62.07,Kuehne+Nagel Brokerage,REF8205620,289,BAGS,PKG1327,18274065,Nigeria importer (import)
2604000000,CD202412000000872014,2024-12-21,2024-12-26,import,51,Consumption,260400,Nickel ores and concentrates,Nigeria,Nigeria,China,KAP KOPYTEC AND ALLIED PRODUCTS LTD,[in full dataset],[in full dataset],,Nigeria,,"Hangzhou Qiufan Trading Co., Ltd.",[in full dataset],[in full dataset],Hangzhou,China,,AIR,Yingkou,Shenzhen,2024,12,2024-12,878.3,KG,878.3,995.4,3854.84,3854.84,3752.13,78.89,23.82,4.27,CNY,120.0569,FOB,5.5,212.02,610.03,822.05,Expeditors Customs,REF7602292,317,DRUMS,PKG99567,70218400,Nigeria exporter (export)
3827640000,CD202409000000121621,2024-09-08,2024-09-12,export,40,Consumption,382764,"Mixtures containing halogenated derivatives of methane, ethane or propane; containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); other mixtures, not included in the subheadings above,",United States,United States,Nigeria,"Koch, Inc.",[in full dataset],[in full dataset],Wichita,United States,[in full dataset],CHAMPIONX OILFIELD SOLUTIONS NIGERIA LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],SEA,Main Container Port,Main Container Port,2024,9,2024-09,6087.6,KG,6087.6,6883.2,16094.72,16094.72,15045.15,949.28,100.29,2.47,EUR,119.3665,CFR,6.2,997.87,854.63,1852.5,DHL Customs Svc,REF7783776,159,BULK,PKG33611,7192690,Nigeria importer (import)
8458910000,CD202101000001385153,2021-01-11,2021-01-16,export,70,Warehouse,845891,"Lathes; for removing metal, numerically controlled, other than horizontal lathes",China,China,Nigeria,"Shantui Construction Machinery Co.,Ltd.",[in full dataset],[in full dataset],Jining,China,[in full dataset],ACOUNS NIGERIA LIMITED,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],ROAD,Main Container Port,Main Container Port,2021,1,2021-01,20346.5,KG,20346.5,23320.5,42331.08,42331.08,38349.83,3820.45,160.8,1.88,USD,1,DDP,3.9,1650.91,5277.84,6928.75,Livingston Intl,REF6956719,381,BULK,PKG47660,152289143,Nigeria importer (import)
8539320000,CD201705000001278882,2017-05-13,2017-05-21,export,61,Transit,853932,"Lamps; discharge, (excluding ultra-violet), mercury or sodium vapour lamps, metal halide lamps",China,China,Nigeria,"Focus Media Co., Ltd.",[in full dataset],[in full dataset],Jiujiang,China,[in full dataset],SEGOFS ENERGY SERVICES LIMITED,[in full dataset],[in full dataset],Port Harcourt,Nigeria,[in full dataset],SEA,Main Container Port,Main Container Port,2017,5,2017-05,20140.1,KG,20140.1,21762.5,13008.79,13008.79,12294.3,664.96,49.53,0.61,INR,34.9925,CPT,1.9,247.17,927.92,1175.09,Livingston Intl,REF2444960,40,CARTONS,PKG86189,130976781,Nigeria importer (import)
4013100000,CD201805000000264181,2018-05-27,2018-05-08,import,42,Temporary,401310,"Rubber; inner tubes, of a kind used on motorcars (including station wagons and racing cars), buses and lorries",Nigeria,Nigeria,Spain,FAITH MEDIPLEX CENTER,[in full dataset],[in full dataset],Benin,Nigeria,,NEX TYRES SL,[in full dataset],[in full dataset],MADRID,Spain,[in full dataset],SEA,Bilbao,Algeciras,2018,5,2018-05,15053.9,KG,15053.9,16268.3,10775.07,10775.07,10380.64,345.96,48.47,0.69,USD,1,CPT,9.6,1034.41,1180.95,2215.36,CEVA Customs,REF8691975,4,BAGS,PKG98748,740765.53,Nigeria exporter (export)
2615100000,CD202109000000226572,2021-09-02,2021-09-15,import,70,Warehouse,261510,Zirconium ores and concentrates,Nigeria,Nigeria,Malaysia,FENOG NIGERIA LIMITED,[in full dataset],[in full dataset],Warri,Nigeria,[in full dataset],DIALOG GROUP BERHAD,[in full dataset],[in full dataset],Petaling Jaya,Malaysia,[in full dataset],SEA,Penang,Port Klang,2021,9,2021-09,4656.4,KG,4656.4,5012.2,21941.08,21941.08,20986.74,907.11,47.23,4.51,USD,1,DDP,5.2,1140.94,0,1140.94,DHL Customs Svc,REF2095895,377,BAGS,PKG17622,12900926.17,Nigeria exporter (export)
1302190000,CD201508000000006189,2015-08-19,2015-08-03,export,42,Warehouse,130219,Vegetable saps and extracts; n.e.c. in item no. 1302.1,United Kingdom,United Kingdom,Nigeria,CHAUMET (LONDON) LIMITED,[in full dataset],[in full dataset],LONDON,United Kingdom,[in full dataset],GUM ARABIC COMPANY NIGERIA (GACON) LIMITED,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],SEA,Main Container Port,Main Container Port,2015,8,2015-08,18912.7,KG,18912.7,20361.6,2305.63,2305.63,2230.64,70.78,4.21,0.12,EUR,123.2499,FCA,3.4,78.39,429.12,507.51,AN Deringer,REF6873852,363,DRUMS,PKG57162,156692.03,Nigeria importer (import)
2903590000,CD202201000000004562,2022-01-13,2022-01-18,export,51,Re-export,290359,Unsaturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.5,Malaysia,Malaysia,Nigeria,SOUTHERN ACIDS (M) BERHAD,[in full dataset],[in full dataset],Klang,Malaysia,[in full dataset],BILE ACIDS NIGERIA LTD,[in full dataset],[in full dataset],Suleja,Nigeria,,SEA,Main Container Port,Main Container Port,2022,1,2022-01,11533.4,KG,11533.4,12952.4,32163.92,32163.92,30528.23,1491.81,143.88,2.65,USD,1,EXW,5.5,1769.02,0,1769.02,DSV Customs,REF2262364,455,BULK,PKG63873,525053.64,Nigeria importer (import)
2616100000,CD201912000000182482,2019-12-18,2019-12-22,import,70,Temporary,261610,Silver ores and concentrates,Nigeria,Nigeria,China,PANALPINA WORLD TRANSPORT (NIGERIA) LTD,[in full dataset],[in full dataset],Lagos,Nigeria,[in full dataset],"Beijing Tengsheng Technology Development Co., Ltd.",[in full dataset],[in full dataset],Beijing,China,,SEA,Dalian,Shenzhen,2019,12,2019-12,16233.9,KG,16233.9,17670.9,3039.68,3039.68,2901.34,124.34,14,0.18,USD,1,CFR,4.7,142.86,636.51,779.37,Flexport Customs,REF2827440,293,BAGS,PKG1072,9075130,Nigeria exporter (export)
2915210000,CD202201000000178661,2022-01-13,2022-01-15,export,10,Consumption,291521,Acids; saturated acyclic monocarboxylic acids; acetic acid,China,China,Nigeria,"Qilu Antibiotics Pharmaceutical Co., Ltd.",[in full dataset],[in full dataset],Jinan,China,[in full dataset],ESTER'S BETHEL ENTERPRISE,[in full dataset],[in full dataset],Olomore,Nigeria,,ROAD,Main Container Port,Main Container Port,2022,1,2022-01,1218.8,KG,1218.8,1266.2,31787.37,31787.37,29361.41,2209.33,216.63,24.09,GBP,75.7452,FOB,6.1,1939.03,2360.85,4299.88,Expeditors Customs,REF3480938,397,BULK,PKG75242,19120015,Nigeria importer (import)
2924240000,CD202201000000178736,2022-01-14,2022-01-21,export,42,Temporary,292424,Cyclic amides (including cyclic carbamates) and their derivatives; ethinamate and its salts,China,China,Nigeria,"Qilu Antibiotics Pharmaceutical Co., Ltd.",[in full dataset],[in full dataset],Jinan,China,[in full dataset],ESTER'S BETHEL ENTERPRISE,[in full dataset],[in full dataset],Olomore,Nigeria,,SEA,Main Container Port,Main Container Port,2022,1,2022-01,2109.9,KG,2109.9,2360.3,15986.7,15986.7,14518.22,1425.38,43.1,6.88,USD,1,FOB,3.8,607.49,3318.84,3926.33,Livingston Intl,REF9966814,9,BALES,PKG20821,19120015,Nigeria importer (import)
2941200000,CD202201000000178617,2022-01-11,2022-01-25,export,51,Warehouse,294120,Antibiotics; streptomycins and their derivatives; salts thereof,China,China,Nigeria,"Jiangsu Brother Vitamins Co.,Ltd.",[in full dataset],[in full dataset],Yancheng,China,[in full dataset],ESTER'S BETHEL ENTERPRISE,[in full dataset],[in full dataset],Olomore,Nigeria,,SEA,Main Container Port,Main Container Port,2022,1,2022-01,9459.5,KG,9459.5,9850.7,13690.8,13690.8,13071.04,570.17,49.59,1.38,EUR,42.0113,CIF,3.8,520.25,2131.66,2651.91,AN Deringer,REF1204588,226,CRATES,PKG54847,19120015,Nigeria importer (import)
2713900000,CD202306000000725125,2023-06-17,2023-06-02,import,70,Consumption,271390,Residues; of petroleum oils or of oils obtained from bituminous minerals,Nigeria,Nigeria,Canada,OANDO OIL LIMITED,[in full dataset],[in full dataset],Victoria Island,Nigeria,[in full dataset],Gibson Energy Inc,[in full dataset],[in full dataset],Calgary,Canada,[in full dataset],ROAD,"Halifax, NS","Vancouver, BC",2023,6,2023-06,8905.6,KG,8905.6,9667.3,28633.23,28633.23,26828.13,1637.39,167.71,3.01,INR,80.0675,FOB,6.1,1746.63,0,1746.63,Descartes,REF9471673,439,DRUMS,PKG87703,89165482.25,Nigeria exporter (export)
4005200000,CD201810000000669806,2018-10-14,2018-10-01,import,70,Temporary,400520,"Rubber; unvulcanised, compounded, solutions and dispersions other than those of item no. 4005.10",Nigeria,Nigeria,Spain,HERALD MARINE AND ENERGY LTD,[in full dataset],[in full dataset],Maryland,Nigeria,[in full dataset],SUMINISTROS DEL AUTOMOVIL MV SOCIEDAD LIMITADA.,[in full dataset],[in full dataset],VIGO,Spain,,AIR,Algeciras,Barcelona,2018,10,2018-10,11298.3,KG,11298.3,12126.8,921.04,921.04,859.29,60.44,1.31,0.08,CNY,61.5523,FOB,13.1,120.66,125,245.66,DSV Customs,REF4431525,476,BAGS,PKG51541,1927461.29,Nigeria exporter (export)
