india_itc_hs8,system_identity_id,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
70080090,6003202404000005516172,700800,9,Glass; multiple-walled insulating units of glass,MARKS9249,China,India,India,8,2024,4,2024-04,2024-04-08,20240419,20240419,export,1,141170363,1303,kg,KG,"Shenzhen Sundish Glassware Co., Ltd.",[in full dataset],Guangzhou,,www.sdsglass.com,[in full dataset],Y,SERAIKELLA GLASS WORKS LIMITED,[in full dataset],East Singhbhum,,,,Y,"Shenzhen Sundish Glassware Co., Ltd.",[in full dataset],,17595.3,17595.3,Yingkou,Cochin,East Singhbhum,1,1,21.99,EVER ACME,IMO5396339,SG,V904,781,COSU,HBL,MSCU105599003,MSCU736916385,BMOU1030203,40HC,TANK,RF,FCL,CFS/CFS,Expeditors,1183.03
44111300,6003201703000001622475,441113,5,"Medium density fibreboard (MDF), of a thickness exceeding 5 mm but not exceeding 9 mm",MARKS2880,South Africa,India,India,9,2017,3,2017-03,2017-03-12,20170316,20170316,export,1,3373154.52,4392.9,kg,KG,GT WOODEN PANEL PRINTING DESIGN (PTY) LTD,[in full dataset],MABOPANE,,,,Y,HELLA INFRA MARKET WOOD PRODUCTS PRIVATE LIMITED,[in full dataset],Thane,,,,Y,GT WOODEN PANEL PRINTING DESIGN (PTY) LTD,[in full dataset],,17829.3,17829.3,Port Elizabeth,Kolkata,Thane,1,1,22.29,CMA CGM JULES VERNE,IMO4152361,SG,V824,61,YMLU,HBL,CMDU998436045,EGLV499277474,MSCU2863864,45HC,TANK,HC,FCL,CY/CFS,Nippon Express,4119.7
09061110,6003202001000001372020,090611,7,"Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",MARKS2332,Indonesia,India,India,6,2020,1,2020-01,2020-01-09,20200120,20200120,export,1,11075862.44,3033.74,kg,KG,PT PERKEBUNAN NUSANTARA IX (PERSERO) - JOLOTIGO,[in full dataset],Kota Pekalongan,,,,Y,INDUS COFFEE PRIVATE LIMITED,[in full dataset],Nellore,,www.induscoffee.in,[in full dataset],Y,PT PERKEBUNAN NUSANTARA IX (PERSERO) - JOLOTIGO,[in full dataset],,10145.8,10145.8,Makassar,Kandla,Nellore,1,1,12.68,CSCL GLOBE,IMO6146903,PA,V301,22,MAEU,HBL,MAEU232711704,YMLU689490785,FCIU9111621,20GP,TANK,HC,LCL,CY/CY,Nippon Express,2744.91
,6003202307000000545248,690723,6,"Ceramic tiles; flags and paving, hearth or wall tiles other than those of subheadings 6907.30 and 6907.40, of a water absorption coefficient by weight over 10%",MARKS3819,Japan,India,India,6,2023,7,2023-07,2023-07-02,20230721,20230721,export,1,3165710.2,7707.87,kg,KG,"AGC CERAMICS CO., LTD.",[in full dataset],MINATO-KU,,www.agcc.jp/,[in full dataset],Y,PARUL BRICKS INDUSTRIES,[in full dataset],Agartala,,,,Y,"AGC CERAMICS CO., LTD.",[in full dataset],,21908.8,21908.8,Tokyo,"Nhava Sheva (JNPT), Mumbai",Agartala,1,1,27.39,OOCL HONG KONG,IMO9273531,LR,V975,84,HLCU,SWB,MAEU957357414,MAEU504089690,TGHU6834058,40HC,REEFER,HC,FCL,CY/CFS,Bollore Logistics,7305.96
70189010,6003202408000006017995,701890,9,"Glass; articles thereof, statuettes and other ornaments of lamp worked glass, other than imitation jewellery",MARKS1054,China,India,India,5,2024,8,2024-08,2024-08-13,20240824,20240824,export,1,190766152,15322.94,kg,KG,ANPEL Laboratory Technologies(Shanghai) Inc.,[in full dataset],Shanghai,,www.anpel.com.cn,[in full dataset],N,NEUTRAL GLASS AND ALLIED INDUSTRIES PRIVATE LIMITED,[in full dataset],Mumbai,,www.gerresheimer.com,[in full dataset],Y,ANPEL Laboratory Technologies(Shanghai) Inc.,[in full dataset],,6327.5,6327.5,Dalian,Kolkata,Mumbai,1,1,7.91,MOL TRIUMPH,IMO9988418,LR,V406,948,YMLU,MBL,ONEY481438090,CMDU918630952,TGHU9887707,45HC,DRY,GP,FCL,CY/CFS,Bollore Logistics,13942.22
09019020,6003202010000001604962,090190,6,"Coffee; husks and skins, coffee substitutes containing coffee in any proportion",MARKS4706,Indonesia,India,India,6,2020,10,2020-10,2020-10-18,20201022,20201022,export,1,15964325.41,3184.19,kg,KG,UD SUPANGAT,[in full dataset],Kabupaten Ogan Komering Ulu,,,,Y,VILLARVATTOM SPICES PRIVATE LIMITED,[in full dataset],Ernakulam,,,,Y,UD SUPANGAT,[in full dataset],,8725.1,8725.1,Makassar,Kolkata,Ernakulam,1,1,10.91,CMA CGM JULES VERNE,IMO8984878,PA,V442,824,HLCU,SWB,EGLV662806176,ONEY792765317,FCIU4868586,40GP,REEFER,GP,FCL,CY/CFS,Kuehne + Nagel,2888.51
70191200,6003202402000005406997,701912,6,"Glass fibres; (including glass wool), rovings",MARKS2837,China,India,India,9,2024,2,2024-02,2024-02-21,20240206,20240206,export,1,124562805,21526.39,kg,KG,"Anhui Xinyi Photovoltaic Glass Co., Ltd.",[in full dataset],Wuhu,,www.xinyisolar.com,[in full dataset],Y,NATIONAL PHYSICAL LABORATORY,[in full dataset],New Delhi,,www.nplindia.org,[in full dataset],Y,"Anhui Xinyi Photovoltaic Glass Co., Ltd.",[in full dataset],,5193.7,5193.7,Xiamen,"Mundra, Gujarat",New Delhi,1,1,6.49,OOCL HONG KONG,IMO6908970,PA,V729,436,EGLV,SWB,CMDU390193723,COSU941362365,MSCU8321030,40GP,TANK,HC,FCL,CY/CFS,CEVA Logistics,19761.19
25174900,6003202105000004568426,251749,5,"Stones; of heading no. 2515 or 2516 (excluding marble), in granules, chippings and powder, whether or not heat-treated",MARKS7823,China,India,India,9,2021,5,2021-05,2021-05-24,20210521,20210521,export,1,10472238,10029.03,kg,KG,"Tianshan Material Co., Ltd.",[in full dataset],Shanghai,,www.sinoma-tianshan.cn,[in full dataset],Y,ULTRATECH CEMENT LIMITED,[in full dataset],Mumbai,,www.ultratechcement.com,[in full dataset],Y,"Tianshan Material Co., Ltd.",[in full dataset],,14844.7,14844.7,Guangzhou,"Mundra, Gujarat",Mumbai,1,1,18.56,OOCL HONG KONG,IMO7132168,LR,V109,149,HMMU,HBL,MAEU966700512,MSCU863799565,MSCU2182280,45HC,FLAT RACK,GP,FCL,CY/CFS,DHL Global Forwarding,9178.47
44111300,6003201710000007192644,441113,9,"Medium density fibreboard (MDF), of a thickness exceeding 5 mm but not exceeding 9 mm",MARKS1019,Malaysia,India,India,7,2017,10,2017-10,2017-10-13,20171005,20171005,export,1,30714956.27,14397,kg,KG,JAFUONG PLYWOOD CORPORATION SDN BHD,[in full dataset],Sibu,,,,Y,OMPRAKASH SMALL WOODEN WORK,[in full dataset],Raisen,,,,Y,JAFUONG PLYWOOD CORPORATION SDN BHD,[in full dataset],,19259.2,19259.2,Penang,Tuticorin,Raisen,1,1,24.07,HYUNDAI LOYALTY,IMO9855012,PA,V627,593,APLU,HBL,MSCU653010570,EGLV896137624,TGHU6739178,45HC,FLAT RACK,GP,FCL,CFS/CFS,Bollore Logistics,13097.67
,6003201505000004541054,150940,6,"Vegetable oils; olive oil and its fractions, virgin olive oils n.e.c. in heading 1509, whether or not refined, but not chemically modified",MARKS2861,Indonesia,India,India,5,2015,5,2015-05,2015-05-13,20150525,20150525,export,1,305794621,31450.83,kg,KG,PT INNO-WANGSA OILS & FATS,[in full dataset],Kota Medan,,www.inno-wangsa.co.id,[in full dataset],Y,RAINBOW WAXES,[in full dataset],Mumbai,,,,Y,PT INNO-WANGSA OILS & FATS,[in full dataset],,5335.7,5335.7,"Tanjung Priok, Jakarta",Cochin,Mumbai,1,1,6.67,MSC GULSUN,IMO9560213,SG,V306,138,COSU,SWB,ONEY825848388,CMDU955324526,BMOU4130253,45HC,DRY,HC,LCL,CFS/CFS,DHL Global Forwarding,28506.17
68129911,6003202212000003029618,681299,7,"Asbestos or mixtures with a basis of asbestos (other than crocidolite); fibres, mixtures or articles n.e.c. in heading no. 6812, whether or not reinforced, not goods of heading 6811 or 6813",MARKS2458,China,India,India,8,2022,12,2022-12,2022-12-02,20221203,20221203,export,1,42343621,27711.5,kg,KG,"Huaxin Building Materials Group Co.,Ltd.",[in full dataset],Wuhan,,www.huaxincem.com,[in full dataset],Y,POKARNA ENGINEERED STONE LIMITED,[in full dataset],Hyderabad,,www.pokarna.com,[in full dataset],Y,"Huaxin Building Materials Group Co.,Ltd.",[in full dataset],,11574.6,11574.6,Tianjin,Chennai,Hyderabad,1,1,14.47,EVER ACME,IMO1198509,PA,V717,619,YMLU,SWB,COSU262384892,COSU493999659,TGHU3020207,40HC,FLAT RACK,GP,FCL,CY/CY,Sinotrans,24979.9
44101900,6003201705000006665128,441019,9,"Wafer board and similar board of wood n.e.c. in item no. 4410.1, whether or not agglomerated with resins or other organic binding substances",MARKS9426,China,India,India,6,2017,5,2017-05,2017-05-15,20170522,20170522,export,1,27107770,919.3,kg,KG,"Rizhao Jinghang Forest Products Furniture Co., Ltd.",[in full dataset],Rizhao,,,,Y,SHIV SHAKTI ENTERPRISES,[in full dataset],Udham Singh Nagar,,,,Y,"Rizhao Jinghang Forest Products Furniture Co., Ltd.",[in full dataset],,10049.5,10049.5,Yingkou,Kolkata,Udham Singh Nagar,1,1,12.56,ONE APUS,IMO2722679,LR,V442,412,ZIMU,SWB,CMDU491152704,MSCU162828425,TGHU5296638,20GP,OPEN TOP,HC,LCL,CFS/CFS,CEVA Logistics,803.2
68042110,6003202207000003349720,680421,8,"Millstones, grindstones, grinding wheels and the like; of agglomerated synthetic or natural diamond",MARKS1752,China,India,India,8,2022,7,2022-07,2022-07-23,20220705,20220705,export,1,53546388,13506.77,kg,KG,"China Testing & Certification International Group Co.,Ltd.",[in full dataset],Beijing,,www.ctc.ac.cn,[in full dataset],Y,ACC LIMITED,[in full dataset],Ahmedabad,,www.acclimited.com,[in full dataset],Y,"China Testing & Certification International Group Co.,Ltd.",[in full dataset],,635.4,635.4,Yingkou,Visakhapatnam,Ahmedabad,1,1,0.79,MSC OSCAR,IMO1392895,SG,V367,154,MAEU,MBL,HLCU311298510,COSU948183414,BMOU1574571,45HC,TANK,GP,FCL,CY/CY,Expeditors,12790.79
25174100,6003202111000002411158,251741,7,"Stones; of marble, in granules, chippings and powder, whether or not heat-treated",MARKS9411,United States,India,India,5,2021,11,2021-11,2021-11-23,20211107,20211107,export,1,4033196,216.85,kg,KG,"Oxbow Carbon & Minerals Holdings, Inc.",[in full dataset],West Palm Beach,,www.oxbow.com,[in full dataset],Y,JK LAKSHMI CEMENT LIMITED,[in full dataset],New Delhi,,www.jklakshmicement.com,[in full dataset],Y,"Oxbow Carbon & Minerals Holdings, Inc.",[in full dataset],,7257.2,7257.2,"New York/Newark, NJ",Kolkata,New Delhi,1,1,9.07,HMM ALGECIRAS,IMO5364461,PA,V297,607,YMLU,MBL,COSU610263156,EGLV876270480,TGHU1639432,20GP,OPEN TOP,HC,FCL,CFS/CFS,Yusen Logistics,200
25232100,6003202104000001435670,252321,6,"Cement; portland, white, whether or not artificially coloured",MARKS5243,Spain,India,India,7,2021,4,2021-04,2021-04-14,20210421,20210421,export,1,2158387.71,958.61,kg,KG,PLADUR GYPSUM SAU.,[in full dataset],VALDEMORO,,www.pladur.com,[in full dataset],Y,MARUDHAR QUARTZ SURFACES PRIVATE LIMITED,[in full dataset],Bengaluru,,,,N,PLADUR GYPSUM SAU.,[in full dataset],,9971.5,9971.5,Algeciras,"Nhava Sheva (JNPT), Mumbai",Bengaluru,1,1,12.46,MADRID MAERSK,IMO1408487,SG,V801,131,EGLV,MBL,ONEY632855427,COSU224016946,FCIU1189611,40GP,REEFER,HC,FCL,CFS/CFS,DSV,893.07
15021010,6003201510000004605883,150210,7,Tallow; other than those of heading 1503,MARKS3229,Indonesia,India,India,8,2015,10,2015-10,2015-10-04,20151017,20151017,export,1,350486499,9388.72,kg,KG,PT INNO-WANGSA OILS & FATS,[in full dataset],Kota Medan,,www.inno-wangsa.co.id,[in full dataset],Y,SIDDHI MARGARINE SPECIALITIES LIMITED,[in full dataset],Ahmedabad,,www.siddhimargarine.com,[in full dataset],Y,PT INNO-WANGSA OILS & FATS,[in full dataset],,23781.7,23781.7,Makassar,"Nhava Sheva (JNPT), Mumbai",Ahmedabad,1,1,29.73,COSCO UNIVERSE,IMO6400242,SG,V831,712,MSCU,MBL,EGLV617735611,YMLU387837198,TCLU3075830,40HC,TANK,HC,FCL,CFS/CFS,Nippon Express,8461.02
52054390,6003202506000001515978,520543,9,"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale",MARKS3109,United States,India,India,6,2025,6,2025-06,2025-06-15,20250628,20250628,export,1,31382861,12518.71,kg,KG,"Port of Corpus Christi Authority of Nueces County, Texas",[in full dataset],Corpus Christi,,www.portofcc.com,[in full dataset],Y,BOWRESH COTTON MILLS COMPANY LIMITED,[in full dataset],Kolkata,,,,Y,"Port of Corpus Christi Authority of Nueces County, Texas",[in full dataset],,11395.5,11395.5,"Seattle, WA",Visakhapatnam,Kolkata,1,1,14.24,EVER ACME,IMO5314288,MH,V597,716,EGLV,HBL,MAEU777128939,EGLV451164044,BMOU1694106,20GP,REEFER,GP,LCL,CFS/CFS,CEVA Logistics,11499.19
48131000,6003201809000006533752,481310,7,"Paper, cigarette; in the form of booklets or tubes",MARKS9316,China,India,India,9,2018,9,2018-09,2018-09-19,20180916,20180916,export,1,52234833,55013.05,kg,KG,"Inner Mongolia Daxing'Anling Pulp & Paper Co., Ltd.",[in full dataset],Zhalantun,,,,Y,ITC LIMITED,[in full dataset],Kolkata,,www.itcportal.com,[in full dataset],Y,"Inner Mongolia Daxing'Anling Pulp & Paper Co., Ltd.",[in full dataset],,15806.6,15806.6,Guangzhou,"Mundra, Gujarat",Kolkata,1,1,19.76,EVER ACME,IMO5860481,PA,V739,260,EGLV,MBL,MAEU119851144,MSCU833107070,TCLU3021367,40GP,DRY,HC,FCL,CY/CFS,Nippon Express,48813.22
69010010,6003202311000003032377,690100,8,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",MARKS4599,China,India,India,7,2023,11,2023-11,2023-11-22,20231118,20231118,export,1,55213317,5925.63,kg,KG,"Wenzhou Hongli Machinery Co., Ltd.",[in full dataset],Wenzhou,,www.chinatianchi.com,[in full dataset],Y,AKIK CERAMICS PRIVATE LIMITED,[in full dataset],Ahmedabad,,,,Y,"Wenzhou Hongli Machinery Co., Ltd.",[in full dataset],,18749,18749,Tianjin,Kolkata,Ahmedabad,1,1,23.44,CMA CGM JULES VERNE,IMO4217402,SG,V653,638,HMMU,SWB,CMDU309491571,EGLV139319417,BMOU8799559,40GP,OPEN TOP,GP,LCL,CFS/CFS,CEVA Logistics,5376.91
48026220,6003201811000006319685,480262,9,"Uncoated paper and paperboard (not 4801 or 4803); over 10% by weight of mechanical or chemi-mechanical processed fibre, in sheets 435mm or less by 297mm or less (unfolded)",MARKS6533,China,India,India,7,2018,11,2018-11,2018-11-23,20181127,20181127,export,1,47856550,13124.53,kg,KG,"Wuzhou Special Paper Group Co., Ltd.",[in full dataset],Quzhou,,www.wztzzy.com,[in full dataset],Y,ORIENT PAPER AND INDUSTRIES LIMITED,[in full dataset],Kolkata,,www.orientpaperindia.com,[in full dataset],Y,"Wuzhou Special Paper Group Co., Ltd.",[in full dataset],,1626.5,1626.5,Xiamen,Kolkata,Kolkata,1,1,2.03,EVER GIVEN,IMO3686061,SG,V244,610,MSCU,HBL,MAEU667464367,EGLV492821672,CAIU1734948,20GP,DRY,HC,LCL,CY/CFS,Expeditors,11511.76
44187900,6003201708000007252587,441879,6,"Wood; assembled flooring panels, n.e.c in headings 4418.73, 4418.74 or 4418.75",MARKS4875,Malaysia,India,India,9,2017,8,2017-08,2017-08-26,20170828,20170828,export,1,31009113.59,6026.21,kg,KG,MERCURIES & MUAR WOODEN FURNITURE MFG. SDN. BHD.,[in full dataset],Bukit Pasir,,,,Y,CENTURY PLYBOARDS (INDIA) LIMITED,[in full dataset],Kolkata,,www.centuryply.com,[in full dataset],Y,MERCURIES & MUAR WOODEN FURNITURE MFG. SDN. BHD.,[in full dataset],,15674.7,15674.7,Port Klang,Chennai,Kolkata,1,1,19.59,CSCL GLOBE,IMO2741418,SG,V942,924,MSCU,HBL,EGLV228549140,EGLV565196409,CAIU1907076,40GP,REEFER,GP,FCL,CY/CFS,Expeditors,5705.69
,6003202409000005928799,701980,9,Glass fibres; glass wool and articles thereof,MARKS4414,China,India,India,6,2024,9,2024-09,2024-09-17,20240927,20240927,export,1,179414730,2732.33,kg,KG,"Dongguan Xinyi Optical Manufacturing Co., Ltd.",[in full dataset],Dongguan,,www.sunhingoffice.com,[in full dataset],N,PGP GLASS PRIVATE LIMITED,[in full dataset],Mumbai,,www.pgpfirst.com,[in full dataset],Y,"Dongguan Xinyi Optical Manufacturing Co., Ltd.",[in full dataset],,14037.7,14037.7,Shanghai,Chennai,Mumbai,1,1,17.55,MSC OSCAR,IMO9976845,PA,V192,455,MAEU,MBL,MAEU655053569,HLCU315347910,TGHU9588201,40GP,REEFER,RF,FCL,CFS/CFS,DSV,2507.72
52121200,6003202510000002206079,521212,9,"Fabrics, woven; of cotton, bleached, weighing not more than 200g/m2, n.e.c. in chapter 52",MARKS5523,Brazil,India,India,7,2025,10,2025-10,2025-10-09,20251020,20251020,export,1,110986790,12038.65,kg,KG,COTTON STAR INDUSTRIAL LTDA,[in full dataset],BLUMENAU,,,,N,AMBIKA COTTON MILLS LIMITED,[in full dataset],Coimbatore,,www.acmills.in,[in full dataset],Y,COTTON STAR INDUSTRIAL LTDA,[in full dataset],,1858.3,1858.3,Santos,Cochin,Coimbatore,1,1,2.32,EVER GIVEN,IMO5946993,MH,V949,256,ZIMU,MBL,HLCU857421506,YMLU871219559,BMOU5088863,40HC,OPEN TOP,GP,FCL,CY/CY,CEVA Logistics,11279.16
